timestamp,name,rating,position,current_pc,avg_bin,avg_auction,target,source_url
2025-10-04T00:39:34Z,Claudia Pina,86,LW,62500.0,,,,https://www.futwiz.com/fc26/player/claudia-pina/99
2025-10-04T00:39:34Z,Oliver Kahn,86,GK,0.0,,,,https://www.futwiz.com/fc26/player/oliver-kahn/5
2025-10-04T00:39:34Z,Kroos,86,CM,0.0,,,,https://www.futwiz.com/fc26/player/toni-kroos/6
2025-10-04T00:39:34Z,Seger,86,CM,0.0,,,,https://www.futwiz.com/fc26/player/caroline-seger/8
2025-10-04T00:39:34Z,Iniesta,86,CM,0.0,,,,https://www.futwiz.com/fc26/player/andres-iniesta/9
2025-10-04T00:39:34Z,Ibrahimovic,86,ST,0.0,,,,https://www.futwiz.com/fc26/player/zlatan-ibrahimovic/11
2025-10-04T00:39:34Z,Ronaldo,86,ST,0.0,,,,https://www.futwiz.com/fc26/player/ronaldo/27
2025-10-04T00:39:34Z,Henry,86,ST,0.0,,,,https://www.futwiz.com/fc26/player/thierry-henry/29
2025-10-04T00:39:34Z,Reijnders,86,CM,155000.0,,,,https://www.futwiz.com/fc26/player/tijjani-reijnders/83
2025-10-04T00:39:34Z,Harder,86,CAM,5800.0,,,,https://www.futwiz.com/fc26/player/pernille-harder/84
2025-10-04T00:39:34Z,Dumornay,86,ST,48750.0,,,,https://www.futwiz.com/fc26/player/melchie-dumornay/85
2025-10-04T00:39:34Z,Nico Williams,86,LM,188000.0,,,,https://www.futwiz.com/fc26/player/nico-williams/86
2025-10-04T00:39:34Z,Tonali,86,CDM,9000.0,,,,https://www.futwiz.com/fc26/player/sandro-tonali/87
2025-10-04T00:39:34Z,Schuller,86,ST,6100.0,,,,https://www.futwiz.com/fc26/player/lea-schuller/89
2025-10-04T00:39:34Z,Calhanoglu,86,CDM,6200.0,,,,https://www.futwiz.com/fc26/player/hakan-calhanoglu/90
2025-10-04T00:39:34Z,Konate,86,CB,26500.0,,,,https://www.futwiz.com/fc26/player/ibrahima-konate/91
2025-10-04T00:39:34Z,Ona Batlle,86,RB,6000.0,,,,https://www.futwiz.com/fc26/player/ona-batlle/92
2025-10-04T00:39:34Z,Buhl,86,LM,5900.0,,,,https://www.futwiz.com/fc26/player/klara-buhl/94
2025-10-04T00:39:34Z,Bruno Guimaraes,86,CM,6100.0,,,,https://www.futwiz.com/fc26/player/bruno-guimaraes/95
2025-10-04T00:39:34Z,Ruben Dias,86,CB,6100.0,,,,https://www.futwiz.com/fc26/player/ruben-dias/97
2025-10-04T00:39:34Z,Alexander-Arnold,86,RB,7500.0,,,,https://www.futwiz.com/fc26/player/trent-alexander-arnold/98
2025-10-04T00:39:34Z,Geyoro,86,CM,0.0,,,,https://www.futwiz.com/fc26/player/grace-geyoro/101
